,name,link,city,main_link,vacancy_id,min_salary,max_salary,currency
0,Программист-разработчик Python,https://superjob.ru/vakansii/programmist-razrabotchik-python-36103770.html,Новосибирск,https://superjob.ru,36103770,,,
1,Инженер-программист Python (data science),https://superjob.ru/vakansii/inzhener-programmist-python-36156813.html,Москва,https://superjob.ru,36156813,,,
2,Automation QA Engineer / Тестировщик (Python),https://superjob.ru/vakansii/automation-qa-engineer-36332816.html,Москва,https://superjob.ru,36332816,160000.0,200000.0,руб.
3,BackEnd Python-разработчик,https://superjob.ru/vakansii/backend-python-razrabotchik-35351781.html,Одинцово,https://superjob.ru,35351781,150000.0,180000.0,руб.
4,Backend-разработчик Python,https://superjob.ru/vakansii/backend-razrabotchik-python-35151272.html,Санкт-Петербург,https://superjob.ru,35151272,,,
5,Аналитик базы данных / Разработчик Python,https://superjob.ru/vakansii/analitik-bazy-dannyh-36302264.html,Москва,https://superjob.ru,36302264,,,
6,Senior Python разработчик,https://superjob.ru/vakansii/senior-python-razrabotchik-36183343.html,Хабаровск,https://superjob.ru,36183343,95000.0,,руб.
7,"Ведущий программист (Python-разработчик (pre-middle, middle)",https://superjob.ru/vakansii/veduschij-programmist-36116795.html,Казань,https://superjob.ru,36116795,81000.0,,руб.
8,Программист Python,https://superjob.ru/vakansii/programmist-python-36270453.html,Москва,https://superjob.ru,36270453,,,
9,Python developer / Python разработчик / Программист Python,https://superjob.ru/vakansii/python-developer-36176334.html,Санкт-Петербург,https://superjob.ru,36176334,,,
10,Продуктовый аналитик (Команда цифровых продуктов и сервисов),https://superjob.ru/vakansii/produktovyj-analitik-35765100.html,Москва,https://superjob.ru,35765100,,,
11,DevOps Engineer,https://superjob.ru/vakansii/devops-engineer-34424249.html,Москва,https://superjob.ru,34424249,,,
12,Начальник отдела ИТ,https://superjob.ru/vakansii/nachalnik-otdela-it-35300974.html,Рязань,https://superjob.ru,35300974,,,
13,Системный администратор Windows Linux,https://superjob.ru/vakansii/sistemnyj-administrator-windows-linux-36031287.html,Москва,https://superjob.ru,36031287,80000.0,100000.0,руб.
14,"Инженер-проектировщик ИТ и слаботочных сетей (ЛВС, СКС)",https://superjob.ru/vakansii/inzhener-proektirovschik-it-i-slabotochnyh-setej-36072193.html,Москва,https://superjob.ru,36072193,70000.0,,руб.
15,Аналитик,https://superjob.ru/vakansii/analitik-36156846.html,Москва,https://superjob.ru,36156846,,,
16,Программист (junior),https://superjob.ru/vakansii/programmist-36186399.html,Ростов-на-Дону,https://superjob.ru,36186399,,,
17,Геолог (1 категории),https://superjob.ru/vakansii/geolog-36325614.html,Магадан,https://superjob.ru,36325614,135000.0,,руб.
18,Ведущий инженер-программист (машиностроительное производство),https://superjob.ru/vakansii/veduschij-inzhener-programmist-35649581.html,Санкт-Петербург,https://superjob.ru,35649581,75000.0,,руб.
19,Программист 1C,https://superjob.ru/vakansii/programmist-1c-36168271.html,Санкт-Петербург,https://superjob.ru,136168271,150000.0,,руб.
