,name,link,currency,city,main_link,vacancy_id,max_salary,min_salary
0,Разработчик / Программист 1С ERP 2.4,https://superjob.ru/vakansii/razrabotchik-36318218.html,руб.,Москва,https://superjob.ru,36318218,,
1,Программист-стажер 1С,https://superjob.ru/vakansii/programmist-stazher-1s-36182707.html,руб.,Москва,https://superjob.ru,136182707,100000.0,
2,Программист 1С,https://superjob.ru/vakansii/programmist-1s-32113329.html,,Москва,https://superjob.ru,132113329,,
3,Back-end-разработчик (Java/Spring),https://superjob.ru/vakansii/back-end-razrabotchik-36318050.html,,Ростов-на-Дону,https://superjob.ru,36318050,,
4,Программист,https://superjob.ru/vakansii/programmist-36360590.html,руб.,Нерчинский Завод,https://superjob.ru,36360590,,29500.0
5,Программист сопровождения,https://superjob.ru/vakansii/programmist-soprovozhdeniya-30803021.html,руб.,Иркутск,https://superjob.ru,30803021,60000.0,50000.0
6,Разработчик мобильных приложений на Android / Android developer,https://superjob.ru/vakansii/razrabotchik-mobilnyh-prilozhenij-na-android-36151257.html,,Москва,https://superjob.ru,36151257,,
7,Программист pyrus,https://superjob.ru/vakansii/programmist-pyrus-35374424.html,,Москва,https://superjob.ru,35374424,,
8,C# developer,https://superjob.ru/vakansii/c-36360560.html,,Москва,https://superjob.ru,36360560,,
9,Программист 1C,https://superjob.ru/vakansii/programmist-1c-28484136.html,руб.,Москва,https://superjob.ru,128484136,,100000.0
10,Программист Java,https://superjob.ru/vakansii/programmist-java-36163098.html,руб.,Воронеж,https://superjob.ru,36163098,110000.0,90000.0
11,Инженер-программист станков ЧПУ,https://superjob.ru/vakansii/inzhener-programmist-stankov-chpu-35274158.html,,Санкт-Петербург,https://superjob.ru,35274158,,
12,Программист 1С,https://superjob.ru/vakansii/programmist-1s-36148528.html,руб.,Мурманск,https://superjob.ru,136148528,,90000.0
13,"Программист iOS, Senior / Middle",https://superjob.ru/vakansii/programmist-ios-36111159.html,руб.,Санкт-Петербург,https://superjob.ru,36111159,100000.0,80000.0
14,"Веб-программист/PHP, Битрикс (удаленно)",https://superjob.ru/vakansii/veb-programmist-36108763.html,руб.,Тула,https://superjob.ru,36108763,85000.0,70000.0
15,Программист Delphi,https://superjob.ru/vakansii/programmist-delphi-35892116.html,,Москва,https://superjob.ru,35892116,,
16,Разработчик 1С Склад,https://superjob.ru/vakansii/razrabotchik-1s-sklad-36160520.html,,Москва,https://superjob.ru,136160520,,
17,Наладчик-программист станков с ЧПУ,https://superjob.ru/vakansii/naladchik-programmist-stankov-s-chpu-35111362.html,руб.,Санкт-Петербург,https://superjob.ru,35111362,,55000.0
18,Главный технолог-разработчик органорастворимых ЛКМ,https://superjob.ru/vakansii/glavnyj-tehnolog-razrabotchik-organorastvorimyh-lkm-36036630.html,руб.,Москва,https://superjob.ru,36036630,,100000.0
19,Программист SQL,https://superjob.ru/vakansii/programmist-sql-36109036.html,,Москва,https://superjob.ru,36109036,,
